"Age" "Resident" "Attitude.Reduce.Bill" "Attitude.Environment" "Bedroom" "Education" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121"
"1951" 3 3 1 1 3 2 20.409 24.658 14.095 14.489 14.489 16.064 20.704 17.63 17.509 17.665 18.358 16.709 15.512 14.384 17.46 13.195 22.381 20.931 18.451 12.833 16.861 17.225 19.433 13.813 13.584 13.378 15.761 22.243 19.865 20.181 23.333 17.154 21.123 19.373 19.342 16.662 19.664 17.807 16.385 17.681 16.514 21.297 23.218 30.451 25.679 39.646 26.18 26.268 24.786 32.029 25.213 24.87 23.694 23.789 27.86 23.568 23.302 24.417 26.341 23.185 23.69 25.115 24.248 25.585 27.907 23.601 24.056 21.877 26.917 23.726 24.492 25.289 27.341 26.024 25.653 24.917 26.228 23.936 27.76 22.872 23.186 23.753 25.478 24.089 27.373 24.471 23.705 22.911 25.388 27.296 23.959 30.597 23.271 24.547 23.033 23.494 24.751 26.677 23.477 23.179 23.071 21.962 23.347 24.043 30.843 23.705 29.777 23.016 25.835 23.394 25.105 25.351 30.285 24.404 22.153 22.164 22.693 22.348 27.512 23.83 23.341
"1971" 4 3 1 1 4 5 24.462 33.465 35.089 27.876 24.552 32.294 29.334 28.525 35.797 27.36 24.172 26.717 34.862 22.742 30.679 32.688 28.3 32.636 39.918 32.649 26.652 32.53 36.901 25.471 26.897 33.842 45.21 41.759 27.859 26.646 31.768 32.952 39.564 39.233 34.916 32.103 35.42 34.861 35.988 31.982 54.181 35.75 38.645 22.456 12.779 20.502 32.634 37.102 24.893 23.243 26.971 24.981 26.819 25.278 28.174 25.311 25.683 32.377 27.531 26.763 27.886 28.517 27.648 23.788 29.716 26.684 28.705 24.775 25.95 24.387 24.853 29.63 24.105 29.816 25.698 25.25 26.725 24.807 33.124 31.089 26.204 28.026 26.42 27.456 24.757 31.121 29.048 28.08 29.368 27.021 28.414 24.327 29.643 28.89 23.438 29.358 23.78 26.526 28.342 31.217 25.3 26.788 25.418 26.849 23.691 25.678 31.318 33.298 29.941 27.855 25.299 24.406 28.332 30.593 31.011 25.949 27.24 23.823 21.948 21.406 26.443
"1998" 6 2 1 1 4 4 33.056 31.515 34.812 30.641 30.229 31.742 32.976 41.232 43.221 37.535 33.264 35.507 28.666 23.639 31.851 33.237 33.234 37.925 38.565 30.592 30.947 38.854 48.53 37.764 36.069 31.266 36.927 30.101 35.225 30.9 48.831 38.669 46.243 33.717 30.374 41.384 35.8 47.874 24.909 50.126 15.989 20.853 32.103 27.147 30.269 43.305 35.675 36.358 35.681 32.623 35.906 35.973 38.438 38.149 34.231 40.171 37.337 36.876 35.526 38.286 34.135 39.406 36.829 36.108 34.362 35.215 33.934 33.283 37.814 36.89 38.363 35.462 34.306 36.89 40.681 38.065 33.83 31.716 37.377 40.642 35.249 43.983 38.708 33.039 34.638 34.79 35.344 36.361 36.523 39.078 31.215 38.09 36.127 36.962 36.827 30.077 28.208 28.208 28.18 28.108 29.367 35.999 35.869 35.865 30.728 37.329 32.859 33.704 35.384 32.51 35.682 33.803 40.393 33.811 33.438 31.634 32.895 33.368 37.364 29.694 33.55
"2031" 6 2 1 1 5 2 21.235 25.923 20.87 25.414 28.433 37.438 26.705 24.512 26.494 26.187 22.238 23.781 30.215 20.986 20.291 27.205 26.368 31.338 26.982 42.519 30.439 25.984 22.594 31.752 21.96 18.918 28.04 32.453 27.538 34.693 28.509 25.894 29.192 27.665 37.95 34.801 26.483 41.304 30.79 43.034 60.066 44.445 50.1 43.733 26.912 28.351 33.14 28.584 29.508 25.223 25.284 26.021 25.897 24.432 24.774 27.271 25.843 28.946 24.803 30.261 22.835 24.01 27.448 25.278 23.924 24.837 23.973 24.302 37.631 29.884 27.973 27.472 26.499 25.319 24.759 24.155 27.205 24.278 24.215 25.05 23.248 24.716 25.136 26.794 28.867 25.777 25.991 20.931 22.193 23.052 23.841 24.88 30.021 25.34 23.136 23.473 23.482 25.284 24.472 24.888 29.448 25.89 22.855 24.503 23.708 26.848 28.55 35.436 29.588 23.274 26.738 26.432 32.779 27.562 25.087 23.683 24.618 25.89 23.911 28.321 29.719
"2033" 3 2 1 1 4 5 55.52 62.899 68.088 54.912 47.734 77.458 70.797 57.88 66.918 46.375 69.62 60.321 61.358 71.995 65.025 72.362 78.366 62.471 63.81 69.766 64.118 80.082 72.941 82.418 92.872 79.568 74.045 67.264 79.251 76.242 72.085 77.143 75.031 63.846 84.072 70.757 83.579 85.845 91.409 72.874 59.431 82.404 89.121 68.779 75.398 72.58 72.661 44.354 35.746 40.726 42.654 44.184 49.558 37.379 39.488 36.684 32.567 37.903 41.596 40.635 40.145 40.127 36.258 39.236 34.813 37.562 36.354 38.594 37.061 40.348 43.978 39.947 36.908 42.721 38.648 37.979 39.918 30.839 40.323 41.187 41.418 38.73 32.949 35.555 37.456 48.574 34.299 37.349 37.982 38.501 39.241 34.71 35.323 40.515 39.055 34.701 38.09 43.224 37.625 36.763 42.496 37.669 38.171 35.898 38.512 38.481 47.004 34.631 36.346 36.241 32.316 40.376 31.413 38.687 34.382 37.672 38.034 35.213 36.597 32.286 39.373
"2138" 4 4 1 1 4 4 28.382 36.823 42.524 34.071 35.676 30.867 34.284 23.583 32.673 23.765 26.899 31.428 31.78 40.441 20.917 27.905 36.533 25.783 29.564 25.171 33.85 21.398 28.86 31.054 26.849 23.117 25.682 25.675 26.49 31.579 33.171 28.243 25.953 33.486 31.891 28.891 33.025 29.859 27.657 30.02 45.399 33.713 17.606 16.768 32.994 46.535 30.618 44.998 38.767 45.739 43.81 43.456 38.819 41.738 41.209 44.103 46.951 39.52 42.191 40.911 38.849 39.739 42.525 42.672 42.876 40.871 42.948 39.575 43.217 41.833 42.505 42.569 40.722 42.132 42.445 38.033 41.983 38.566 40.1 42.799 42.959 40.296 43.399 44.232 43.835 42.975 44.35 46.264 42.132 40.906 44.168 38.758 44.074 45.38 40.085 38.831 43.026 43.136 40.263 42.383 41.448 38.745 40.487 35.686 41.262 44.841 38.493 40.267 37.384 42.985 36.151 44.15 38.265 43.306 39.202 41.612 39.593 38.292 42.081 36.56 39.799
"2170" 5 3 1 1 3 3 34.699 36.166 39.4 29.071 39.651 36.87 36.652 32.107 38.323 33.147 33.33 26.913 36.61 46.11 26.068 39.09 39.31 36.826 49.175 46.004 43.151 48.629 37.226 36.142 37.406 40.063 42.989 42.462 31.925 44.094 34.845 33.468 43.081 49.452 56.125 47.263 37.375 44.594 39.636 59.522 69.259 47.137 41.885 62.344 31.785 48.994 51.617 31.176 25.413 25.095 32.871 28.075 27.164 30.371 27.531 28.5 31.232 26.387 26.223 26.086 25.481 25.09 28.394 31.243 24.746 31.895 28.427 26.73 28.342 29.014 28.534 33.453 30.231 26.591 30.147 25.933 29.327 30.344 27.665 28.446 23.744 26.283 28.365 22.853 29.855 26.183 24.753 29.651 21.11 30.807 22.515 23.414 29.08 26.614 25.823 24.599 24.402 28.333 28.212 26.66 31.648 29.21 25.999 24.753 32.717 33.198 27.234 26.54 23.018 25.699 25.319 25.471 23.867 26.113 26.821 22.558 28.892 26.101 22.872 31.84 30.329
"2252" 5 3 2 2 4 5 40.265 30.319 29.037 25.405 23.603 39.78 38.71 22.983 23.37 49.347 27.761 27.684 25.476 33.509 41.761 33.266 55.397 45.915 36.544 41.388 37.152 24.832 28.942 44.277 31.07 36.187 37.028 34.16 39.882 31.809 35.946 34.183 31.413 39.672 42.595 36.643 36.988 36.854 30.66 44.075 52.631 43.268 37.649 59.539 59.197 42.549 46.397 27.95 28.783 30.086 29.313 29.155 26.667 29.331 25.452 26.551 30.32 29.631 27.301 27.347 35.075 31.009 28.457 27.338 25.802 27.044 25.588 25.721 26.267 32.475 30.841 26.058 27.334 26.511 30.944 26.927 22.23 23.614 26.184 25.053 25.247 29.903 27.082 30.056 30.142 26.766 25.846 25.57 26.121 25.885 26.639 27.922 25.933 25.904 26.603 28.79 28.955 31.123 34.429 25.047 26.908 26.245 25.595 27.593 27.413 25.442 27.178 28.025 28.115 26.156 28.434 32.885 26.16 28.768 26.189 26.02 26.845 27.534 26.76 26.235 25.06
"2319" 4 2 1 1 5 4 39.771 41.916 44.624 40.373 50.13 55.528 41.345 45.704 40.16 45.597 55.283 46.95 35.861 51.909 54.187 49.944 55.511 47.708 57.205 38.162 50.675 47.734 53.802 46.814 51.414 42.643 50.055 63.167 57.455 50.113 50.444 54.156 57.61 54.492 42.389 49.778 58.753 41.479 42.439 54.56 86.283 87.948 59.607 57.427 50.91 46.854 51.927 35.657 40.736 48.953 49.535 30.115 34.887 39.603 37.362 34.271 31.754 30.571 31.365 30.472 29.161 40.127 30.089 27.911 34.51 39.013 30.203 33.982 35.174 36.478 34.42 34.652 30.792 32.104 30.653 31.223 28.415 37.295 34.496 32.034 35.384 33.057 30.333 35.968 35.231 28.153 30.864 35.611 30.438 39.382 30.258 39.475 37.816 28.018 31.07 29.67 28.525 28.69 27.158 26.498 30.796 31.567 26.129 30.364 33.552 27.919 34.534 28.638 31.685 26.854 27.89 27.303 24.142 30.907 32.971 34.245 30.525 30.766 26.097 28.737 38.36
"2414" 5 3 1 1 4 3 26.155 25.641 50.57 63.092 49.828 56.625 51.898 23.75 36.191 30.392 28.507 18.934 22.559 31.548 30.061 22.045 20.924 22.615 26.71 26.428 36.496 25.177 31.577 34.494 18.325 22.109 23.378 25.862 28.679 30.477 25.834 19.705 20.621 33.263 30.095 30.498 18.563 25.453 55.654 86.7 128.015 101.24 80.398 63.456 62.694 47.529 43.427 19.398 21.084 24.232 24.498 21.264 21.4 19.336 18.255 18.089 19.692 20.471 22.603 20.415 19.919 20.569 19.378 22.149 18.805 21.512 22.658 20.948 19.814 19.153 20.903 18.581 21.699 24.681 20.941 18.396 25.098 23.833 18.148 21.161 22.331 16.978 17.368 22.391 25.87 20.199 22.889 27.27 22.049 16.786 25.106 41.657 22.576 20.255 19.843 20.637 14.967 16.986 20.423 19.181 24.239 20.896 20.062 19.644 20.559 20.228 20.473 20.411 18.819 17.43 22.626 20.036 18.616 21.269 19.439 20.875 18.977 20.073 19.729 16.834 18.647
"2454" 4 4 1 1 3 3 28.176 41.033 24.449 26.972 22.05 17.476 13.32 15.142 16.534 21.186 18.297 20.432 24.523 12.766 16.506 11.351 16.095 10.409 17.791 18.455 28.702 18.39 26.521 24.563 28.652 26.571 24.067 25.124 30.406 27.25 26.179 33.227 35.037 26.159 32.408 26.42 43.048 45.721 31.889 38.743 53.841 40.108 28.443 21.093 25.367 24.823 16.332 18.865 17.219 17.179 18.39 16.935 15.589 14.989 16.501 17.358 17.088 14.438 16.965 19.505 20.22 18.973 19.343 17.214 18.338 19.618 19.23 18.632 17.475 20.178 18.96 14.597 16.773 17.184 18.563 19.094 17.703 18.036 17.772 20.257 26.708 27.221 28.856 33.334 25.402 25.915 28.425 25.859 27.175 27.268 25.616 27.207 26.787 25.993 26.513 26.154 29.441 28.925 29.128 28.821 28.206 27.457 27.85 28.928 28.089 30.048 26.618 30.363 27.188 24.459 26.152 28.381 26.855 27.347 29.279 28.335 29.081 28.536 17.641 15.139 17.819
"2458" 4 5 1 2 4 4 34.017 38.825 33.134 39.575 25.423 34.954 40.762 43.574 37.622 43.746 39.051 36.027 30.319 38.241 35.099 44.949 47.373 46.547 42.527 28.08 41.304 44.914 41.853 40.651 40.12 39.924 39.914 35.065 46.199 50.671 40.357 45.192 43.616 41.275 36.737 40.498 40.249 58.018 45.402 63.008 60.088 51.537 49.179 41.611 41.041 34.708 45.255 36.317 30.907 36.276 35.537 35.743 33.257 35.844 36.264 35.379 33.537 36.931 36.9 34.491 31.751 29.135 28.074 34.384 30.962 32.351 30.252 30.504 28.672 28.221 32.252 33.918 33.288 32.575 30.152 29.385 31.713 36.965 35.941 34.155 36.61 32.351 32.733 34.295 31.969 33.936 36.474 32.643 32.919 32.825 27.966 30.42 39.766 31.481 31.347 38.115 35.394 31.497 35.439 33.845 34.744 35.653 33.291 35.433 29.556 30.589 31.455 32.26 35.992 31.869 34.093 30.511 31.389 36.715 34.323 31.331 32.392 34.967 30.284 35.465 35.139
"2495" 6 2 1 1 4 3 25.266 24.883 21.747 19.419 21.887 19.803 25.654 15.32 18.849 24.888 19.046 20.013 19.084 23.056 21.746 27.928 20.285 18.256 20.637 23.512 23.86 22.871 26.821 17.98 20.153 23.806 45.108 21.575 25.758 22.12 21.895 18.822 19.061 24.27 22.991 20.265 31.383 47.459 30.823 38.905 53.699 56.744 44.117 36.775 53.969 73.444 41.713 26.688 26.021 25.493 23.936 26.559 25.754 25.896 24.46 28.392 25.479 28.49 23.569 24.963 26.114 24.11 24.597 24.153 23.137 24.179 26.254 25.35 25.222 28.399 23.576 23.913 26.622 24.378 23.701 23.904 27.62 24.211 26.538 25.225 23.932 24.047 27.448 30.256 27.45 25.407 28.183 26.331 25.078 24.926 27.129 26.058 23.938 26.893 23.82 22.87 23.64 24.032 26.64 23.508 26.434 23.495 22.861 22.125 24.585 23.786 22.214 21.605 26.645 25.869 26.713 26.949 27.305 24.17 25.093 22.812 23.708 23.418 24.02 22.734 21.765
"2512" 4 3 1 1 3 5 38.143 37.322 34.279 37.45 31.56 32.229 38.796 23.389 42.604 35.592 30.929 33.255 40.641 34.714 35.794 44.162 38.166 37.922 38.243 42.036 43.751 38.493 36.567 34.478 31.498 36.495 38.666 31.947 43.917 38.034 30.715 33.335 35.051 31.883 41.881 41.507 41.382 37.123 38.438 53.812 67.762 51.242 52.582 40.822 42.86 46.772 41.827 29.654 32.162 33.479 26.649 24.537 29.737 33.646 26.507 31.847 30.152 29.6 29.695 26.777 22.632 29.858 26.311 29.062 26.988 29.909 27.766 28.846 29.99 24.882 33.793 33.977 27.982 32.58 27.813 28.238 29.169 38.007 33.267 29.336 28.259 25.474 26.662 28.079 31.565 26.633 27.908 27.872 30.87 29.634 27.347 25.239 28.013 29.312 27.669 27.728 26.277 30.882 32.142 30.415 30.018 30.149 26.426 26.253 29.396 29.734 29.587 28.019 29.151 27.401 25.837 29.818 30.641 28.801 26.645 26.852 32.536 27.759 26.634 29.471 30.727
"2552" 4 4 1 1 4 1 13.98 17.393 21.822 18.626 29.998 21.615 19.014 13.442 19.868 17.839 16.24 20.673 28.526 20.81 22.646 33.712 18.144 23.127 24.137 31.018 30.784 22.582 23.731 26.818 31.931 40.293 28.927 26.403 17.611 17.21 16.56 15.779 20.087 23.873 23.765 16.941 13.895 25.992 26.975 28.839 13.394 20.622 21.542 23.669 34.322 20.534 26.588 20.609 22.853 18.994 25.7 17.982 17.806 20.008 19.825 18.413 21.184 20.788 24.48 31.639 23.859 21.449 21.569 21.587 27.851 28.2 30.343 28.762 24.642 21.777 21.142 32.863 22.575 23.82 26.987 23.869 21.944 24.009 24.142 18.409 17.439 21.393 19.787 18.141 19.532 28.071 28.54 25.445 24.914 25.146 26.158 25.482 27.869 21.907 22.351 24.705 25.309 20.654 19.971 27.807 28.777 28.146 23.693 24.377 21.443 24.041 24.708 21.601 22.432 18.608 21.235 19.63 19.347 25.227 24.827 27.003 24.476 24.829 23.378 23.805 28.316
"2590" 3 2 1 1 2 5 10.498 14.238 16.684 12.232 13.429 13.463 11.743 11.023 13.783 16.272 10.38 13.303 13.708 13.418 13.163 11.16 16.014 19.242 13.46 10.442 11.912 16.754 14.988 15.868 11.675 9.232 11.114 15.357 9.809 13.743 13.972 11.645 9.552 6.867 10.607 16.926 13.714 11.392 8.829 14.007 7.465 11.376 16.548 13.272 9.362 11.2 14.717 10.849 11.199 11.71 16.261 15.706 10.909 12.748 10.369 11.281 14.668 10.597 10.396 12.195 14.176 12.724 11.237 10.509 11.671 12.462 13.874 13.078 9.958 10.324 10.883 12.616 12.542 9.49 13.167 13.86 13.023 12.704 10.746 14.793 13.399 14.363 10.698 8.935 9.684 14.327 12.524 11.251 11.605 12.643 10.472 13.432 9.355 10.72 12.917 11.79 14.677 10.159 13.485 13.329 11.113 10.171 12.737 16.041 12.371 9.756 12.71 11.342 9.988 12.044 15.717 9.649 10.857 12.193 12.065 12.317 11.185 13.599 10.414 10.172 11.759
"2602" 3 2 1 1 4 5 17.304 19.506 27.032 19.343 25.423 29.213 38.012 20.68 20.746 18.684 18.702 22.377 26.538 39.626 17.068 21.32 19.74 18.394 19.645 39.737 15.335 14.746 21.901 34.88 26.59 28.43 20.501 23.078 20.849 19.862 25.746 30.916 27.57 33.961 36.057 22.092 35.881 26.538 26.324 31.702 39.746 43.039 29.273 20.884 26.296 21.779 33.148 12.378 24.184 23.987 12.857 23.222 22.241 17.012 15.663 17.323 16.39 19.06 17.737 24.092 20.804 21.088 20.579 15.524 20.728 19.706 20.711 19.081 17.933 14.544 17.601 14.895 17.893 16.148 17.609 17.288 14.918 16.375 15.451 16.105 17.77 19.305 19.154 16.313 18.589 21.805 21.374 20.93 17.841 18.784 15.302 14.2 17.861 19.534 19.341 17.818 15.896 12.198 16.001 18.521 21.211 23.752 16.612 20.747 14.016 18.487 19.458 17.493 16.488 16.149 19.945 20.783 15.081 19.48 16.738 19.931 15.496 14.046 14.067 15.096 16.324
"2624" 3 2 1 1 3 3 40.784 26.417 18.9 46.464 30.751 22.587 36.072 16.815 44.329 17.725 34.523 23.169 37.45 37.964 26.005 27.976 36.113 27.595 30.379 19.554 25.415 52.362 22.139 57.816 27.102 28.796 36.415 42.744 24.944 46.779 39.93 47.431 24.284 26.912 26.141 37.93 34.589 28.027 46.77 42.697 48.993 39.26 28.106 27.457 37.601 36.532 32.573 27.679 22.505 18.61 22.013 20.884 22.074 19.047 17.654 25.483 24.156 27.567 25.636 26.271 20.543 18.615 17.397 15.917 18.006 17.735 22.715 18.887 24.005 17.299 17.097 18.446 21.026 17.54 21.553 20.397 20.717 17.93 17.479 19.051 20.151 20.032 18.936 16.583 18.112 16.073 19.547 24.052 23.227 18.009 17.868 23.592 24.445 22.672 19.664 25.235 25.673 22.461 17.534 23.153 20.857 17.722 20.364 13.468 13.997 15.259 20.728 18.677 21.337 17.194 20.746 16.197 22.825 21.054 25.071 18.592 19.183 19.987 23.841 19.178 21.921
"2677" 5 2 1 1 4 2 22.094 16.59 18.495 18.048 18.843 14.177 17.505 10.485 26.454 27.69 22.026 34.347 26.92 39.715 27.921 27.132 35.191 36.918 29.427 38.927 38.261 29.763 33.029 27.395 25.667 24.002 35.269 34.077 18.777 27.031 30.638 34.944 25.504 29.328 35.23 37.365 37.162 42.341 42.436 72.426 37.249 36.345 45.19 30.347 36.794 37.683 39.397 30.403 26.908 29.272 27.167 35.595 33.56 26.652 28.294 29.018 34.623 33.437 30.445 27.185 27.81 22.678 25.708 23.519 24.416 24.732 27.439 23.534 26.153 24.607 27.4 26.788 25.776 39.3 46.194 29.397 36.678 20.958 28.182 39.859 49.96 36.974 45.873 44.514 33.695 34.362 48.818 48.921 47.3 41.384 41.452 27.393 31.472 29.001 31.186 30.605 29.813 39.547 31.839 31.545 34.223 42.118 34.29 35.41 30.704 32.574 36.792 32.215 28.66 41.494 29.643 38.843 37.32 29.35 30.672 30.644 38.472 32.437 34.264 24.627 26.188
"2687" 3 2 2 3 5 5 15.023 13.528 15.812 11.764 15.604 19.189 11.83 13.922 11.459 12.06 11.893 10.369 17.155 17.187 14.761 15.157 25.663 11.588 16.435 14.746 12.205 16.628 14.107 12.766 11.811 14.21 15.984 16.767 14.351 17.255 19.789 24.013 14.812 26.539 34.102 23.903 40.612 30.863 37.582 32.686 28.287 21.207 17.211 20.446 18.662 21.297 19.202 13.127 13.639 14.295 16.232 13.487 15.091 14.836 14.279 17.387 21.782 32.925 25.755 20.997 16.342 21.815 14.252 13.816 15.223 11.71 16.215 14.549 14.688 14.041 12.724 14.451 12.545 11.669 11.839 13.675 14.187 12.947 13.848 13.513 13.484 13.964 13.901 10.8 14.408 13.11 12.423 13.179 13.523 11.883 13.088 11.797 10.857 11.743 10.742 11.736 11.8 13.064 11.903 14.204 11.875 12.253 10.648 9.816 9.871 9.937 9.723 12.219 12.207 11.434 11.059 12.4 10.954 12.54 11.887 11.334 10.714 15.203 14.445 11.153 11.804
"2699" 3 4 1 1 3 5 26.864 26.567 36.958 28.596 31.713 26.747 27.504 25.504 33.557 34.079 36.848 25.947 30.759 21.583 34.729 21.399 31.966 33.355 31.471 32.905 27.847 28.391 27.021 37.521 21.898 32.099 40.134 46.109 27.205 28.224 32.322 27.86 38.503 31.971 45.316 46.202 31.98 27.091 25.099 43.782 52.025 53.188 42.745 57.062 36.641 30.716 40.098 36.638 38.095 42.009 36.885 40.475 38.741 33.036 47.534 33.644 32.682 32.097 33.766 38.699 38.875 30.917 32.397 34.117 32.999 38.13 38.276 37.953 36.848 31.505 34.895 39.038 38.185 34.245 37.498 35.846 35.176 36.643 34.906 32.973 38.373 35.302 34.981 39.433 30.745 37.674 34.769 33.438 29.475 37.157 37.418 34.817 33.107 34.822 33.867 31.09 36.287 31.2 33.367 38.554 32.025 39.784 36.003 35.155 31.903 29.477 40.75 30.976 33.549 34.432 33.464 33.023 34.279 38.267 34.362 38.398 32.582 36.542 32.795 38.198 30.417
"2718" 2 2 2 2 3 4 14.355 18.549 16.87 18.624 24.904 20.26 20.709 17.466 19.553 20.559 20.203 20.083 18.51 14.988 20.343 17.99 17.272 13.909 16.305 13.002 15.801 13.507 15.808 14.638 15.664 16.286 14.078 16.189 14.208 12.834 15.217 13.851 14.924 12.663 15.834 12.64 17.406 21.502 17.915 18.154 18.615 14.617 12.427 24.3 17.434 14.536 15.564 19.374 20.031 22.833 19.723 19.934 27.06 19.477 19.664 20.073 20.215 22.246 20.957 19.767 23.336 20.748 22.056 23.3 32.41 27.163 21.476 24.163 23.893 26.231 22.924 29.574 22.175 24.013 24.535 34.276 22.402 21.052 26.652 27.642 24.164 23.771 25.283 22.092 22.461 23.758 21.658 22.147 25.053 23.204 22.827 23.857 24.689 23.354 24.017 25.692 24.8 21.522 22.048 23.76 20.853 22.789 22.209 23.143 22.362 22.341 23.194 24.27 27.876 25.533 19.802 18.915 20.058 20.567 22.123 22.183 22.201 22.965 23.34 20.412 24.448
"2739" 4 4 5 5 4 4 22.462 32.251 31.678 23.16 20.109 20.465 21.871 34.715 23.486 22.618 16.176 16.333 20.193 40.335 21.603 20.762 16.789 16.639 28.774 29.184 24.858 34.771 25.884 19.259 36.311 39.905 35.875 18.138 19.829 15.803 26.969 26.098 21.542 35.352 35.614 26.422 21.968 19.721 16.103 16.344 18.367 19.387 17.342 21.894 22.036 17.053 17.16 25.159 21.714 21.725 21.837 21.523 23.307 18.202 18.235 17.593 22.373 22.636 27.41 26.09 20.516 23.881 20.539 18.16 17.553 19.298 22.542 21.18 18.168 21.377 18.723 17.765 18.825 23.928 18.779 21.281 20.648 18.552 18.582 19.288 21.107 19.633 20.359 20.527 21.743 18.485 18.565 17.285 17.543 23.593 22.088 19.007 17.874 17.608 17.699 20.224 25.195 19.421 23.873 30.626 21.959 19.453 20.034 22.55 21.256 23.805 22.165 17.338 16.564 16.391 16.326 16.5 16.342 16.117 16.438 16.802 18.811 24.77 18.704 17.879 22.859
"2745" 3 2 1 1 4 5 44.268 60.272 53.26 29.32 52.954 53.205 32.056 51.896 36.673 50.239 46.236 48.03 39.795 30.689 52.561 59.041 49.444 45.878 32.298 31.371 35.574 61.441 55.14 43.193 45.543 42.881 41.779 24.356 57.527 69.279 63.15 42.22 37.87 41.97 30.192 40.285 30.582 74.946 41.044 37.205 61.319 55.191 51.972 32.66 25.592 58.259 35.241 32.099 32.564 31.396 39.413 36.027 33.004 33.756 41.863 30.145 29.82 32.683 40.945 35.636 33.301 35.452 36.218 31.817 36.746 32.762 40.923 33.342 39.775 39.61 33.186 32.329 37.617 33.64 38.033 35.809 29.981 35.187 33.932 32.45 38.83 42.831 34.756 31.286 29.998 37.891 42.062 32.963 37.1 34.588 29.948 29.134 40.718 34.022 33.326 36.566 35.986 31.435 30.866 32.364 33.056 34.771 37.986 36.607 28.234 33.275 34.012 35.019 32.731 37.439 31.935 37.36 35.265 35.526 35.676 36.245 34.899 33.359 29.795 31.775 39.484
"2748" 3 2 2 2 4 5 50.068 58.137 58.218 54.088 52.088 89.778 81.593 43.818 58.316 53.112 54.037 60.189 97.289 83.367 56.795 71.714 67.04 59.099 55.27 76.225 81.685 50.885 62.308 58.572 52.476 50.403 53.653 69.497 49.61 63.346 58.494 61.397 66.612 81.028 77.788 52.07 72.396 68.246 61.672 110.584 109.068 85.202 80.189 81.485 70.198 56.73 45.414 38.285 40.724 41.361 47.033 57.033 41.536 41.78 39.348 48.668 40.882 42.543 42.837 43.433 39.98 41.261 49.59 49.189 47.787 41.809 40.303 45.266 38.591 42.612 42.414 42.693 41.977 41.496 45.383 43.521 42.443 45.371 49.661 46.898 45.764 44.208 39.939 37.018 40.318 44.807 42.844 42.885 39.41 45.899 44.526 38.89 48.146 47.588 51.387 41.052 44.632 41.45 39.976 41.173 42.035 39.233 48.803 45.102 35.824 38.615 50.91 48.401 45.933 43.649 40.131 51.485 35.71 45.755 41.158 42.039 46.795 38.315 47.591 37.55 36.922
"2759" 5 3 1 1 3 5 32.238 32.167 27.696 24.286 15.539 19.402 13.33 27.139 30.793 34.14 34.732 19.987 14.479 16.362 23.248 21.765 28.639 20.458 21.207 17.569 21.86 20.164 21.742 21.597 20.155 15.297 19.65 16.872 19.776 19.149 14.092 27.353 24.272 11.538 12.455 22.079 18.281 40.742 20.959 7.758 9.635 6.092 15.29 15.955 24.223 16.005 22.241 21.452 23.226 19.426 22.963 21.285 25.351 21.431 20.876 20.504 23.741 27.633 23.052 22.412 21.928 20.543 22.294 19.445 23.307 21.517 23.681 22.01 20.604 19.851 21.351 20.028 19.527 21.862 20.13 20.309 20.309 19.776 23.756 24.827 22.399 23.863 21.55 19.843 17.133 23.132 21.564 22.12 19.995 20.879 18.424 18.66 21.179 21.13 21.119 19.577 20.561 17.93 21.066 20.691 21.184 23.759 22.616 23.64 16.964 22.461 22.657 22.581 21.608 21.224 18.357 20.747 17.972 21.192 21.445 19.061 21.114 21.748 19.837 19.508 19.452
